Time_min	Drawdown_m
1	0.00374104
2	0.00124702
3	0.00374105
4	0.00498807
5	0.00374105
6	0.00498807
7	0.00498807
8 0.00498807
9 0.00498807
10 0.0074821
11 0.0074821
12 0.00997613
13 0.0074821
14 0.00997613
15 0.00997613
16 0.00997613
17 0.00997613
18 0.01247016
19 0.00997613
20 0.01247016
21 0.01496419
22 0.01496419
23 0.01496419
24 0.01247016
25 0.01496419
26 0.01496419
27 0.01745822
28 0.01496419
29 0.01745822
30 0.01995225
31 0.01745822
32 0.01995225
33 0.01995225
34 0.01745822
35 0.01995225
36 0.01995225
37 0.01995225
38 0.02244628
39 0.01995225
40 0.0236933
41 0.02244628
42 0.02244628
43 0.0236933
44 0.0236933
45 0.0236933
46 0.0236933
47 0.02618733
48 0.02618733
49 0.02618733
50 0.02494031
51 0.02618733
52 0.02618733
53 0.02992837
54 0.03117539
55 0.02868136
56 0.02868136
57 0.03117539
58 0.03117539
59 0.03117539
60 0.03366942
61 0.03366942
62	0.03366942
63	0.03366942
64	0.03865748
65	0.03366942
66	0.03616345
67	0.03616345
68	0.03616345
69	0.03865748
70	0.03616345
71	0.03865748
72	0.0399045
73	0.0399045
74	0.04115151
75	0.04239853
76	0.0399045
77	0.0399045
78	0.04239853
79	0.04489256
80	0.04239853
81	0.04239853
82	0.11223138
83	0.11223138
84	0.00748209
85	-0.01745822
86	-0.02992837
87	-0.03616345
88	-0.0399045
89	-0.04239853
90	-0.04489256
91	-0.04738659
92	-0.04988062
93	-0.05237465
94	-0.05237465
95	-0.05362167
96	-0.05362167
97	-0.0561157
98	-0.05860973
99	-0.05860973
100	-0.0561157
101	-0.05860973
102	-0.05860973
103	-0.02494031
104	0.46014868
105	1.04624591
106	1.28442585
107	1.45776099
108	1.55253416
109	1.56874536
110	1.63982524
111	1.67349466
112	1.69469392
113	1.7333514
114	1.73833946
115	1.7745029
116	1.7495626
117	1.80817232
118	1.80193724
119	1.82687755
120	1.84558278
121	1.86802906
122	1.87551115
123	1.89671041
124	1.92414475
125	1.91666266
126	1.94659103
127	1.95781417
128	1.96529626
129	1.99397761
130	2.01018881
131	2.00395374
132	2.01018881
133	2.04011718
134	2.04011718
135	2.05632838
136	2.05882241
137	2.08126869
138	2.10246795
139	2.09124481
140	2.13489035
141	2.11867915
142	2.14361946
143	2.13738438
144	2.14112543
145	2.13738438
146	2.1548426
147	2.16855977
148	2.18975903
149	2.15110155
150	2.21469934
151	2.21719337
152	2.21719337
153	2.22716949
154	2.22841651
155	2.22218143
156	2.23839263
157	2.25335682
158	2.2521098
159	2.25834488
160	2.24462771
161	2.29076728
162	2.29076728
163	2.30199042
164	2.30199042
165	2.31196654
166	2.30947251
167	2.32194266
168	2.31944863
169	2.32318968
170	2.34688297
171	2.35311805
172	2.35810611
173	2.36434119
174	2.35062402
175	2.36060014
176	2.37556432
177	2.39177552
178	2.38803448
179	2.36932925
180	2.38304642
181	2.41297479
182	2.40175165
183	2.42544494
184	2.41297479
185	2.42918599
186	2.43168002
187	2.43168002
188	2.44539719
189	2.45287928
190	2.43168002
191	2.44415017
192	2.4628554
193	2.49028974
194	2.50151288
195	2.48530168
196	2.44913823
197	2.50774796
198	2.48779571
199	2.52021811
200	2.52271214
201	2.50400691
202	2.50026586
203	2.50650094
204	2.73595177
205	4.18373665
206	5.29981543
207	6.13032768
208	6.78750479
209	7.26885274
210	7.70156708
211	8.01768548
212	8.28392327
213	8.54704352
214	8.74407195
215	8.94172389
216	9.08138961
217	9.23726654
218	9.34949792
219	9.47544648
220	9.55089091
221	9.65376968
222	9.74791934
223	9.80528205
224	9.90379627
225	9.94744181
226	10.00916907
227	10.07588439
228	10.12202396
229	10.16754002
230	10.23612587
231	10.27228932
232	10.31094679
233	10.37142704
234	10.41943713
235	10.45560058
236	10.47617633
237	10.5304215
238	10.55099726
239	10.59963086
240	10.61584206
241	10.66884021
242	10.6756988
243	10.72183837
244	10.79291824
245	10.85028095
246	10.90514963
247	10.96251234
248	11.02611012
249	11.05853252
250	11.0809788
251	11.13834151
252	11.16826988
253	11.18697511
254	11.2025628
255	11.22126803
256	11.2511964
257	11.26990163
258	11.27426619
259	11.30855911
260	11.32913486
261	11.34784009
262	11.37340391
263	11.4126849
264	11.40270877
265	11.44635431
266	11.46256551
267	11.50621105
268	11.51992822
269	11.5267868
270	11.55422114
271	11.57791444
272	11.58040847
273	11.58976108
274	11.62904207
275	11.62155997
276	11.64026521
277	11.67019357
278	11.67705216
279	11.70947456
280	11.70012194
281	11.74189696
282	11.74439099
283	11.76995481
284	11.80674176
285	11.80674176
286	11.83168207
287	11.84352871
288	11.85724588
289	11.84976379
290	11.86410447
291	11.91834964
292	11.91897315
293	11.94204293
294	11.95139555
295	11.94703099
296	11.95887764
297	11.96324219
298	11.99504109
299	12.02746349
300	12.04180416
301	12.04803924
302	12.06736798
303	12.06487395
304	12.08732022
305	13.68474695
306	14.84571828
307	15.7865914
308	16.5566234
309	17.23874082
310	17.81610895
311	18.32489123
312	18.78067536
313	19.16974416
314	19.5450958
315	19.85622614
316	20.11747586
317	20.37623156
318	20.61004694
319	20.83700375
320	21.01719747
321	21.1980147
322	21.39441963
323	21.54780252
324	21.69245631
325	21.81216979
326	21.98114037
327	22.10023034
328	22.20248561
329	22.31970505
330	22.38891441
331	22.4936637
332	22.58095478
333	22.66512832
334	22.74119626
335	22.83035786
336	22.87337989
337	22.92637804
338	22.98623478
339	23.0523266
340	23.09410161
341	23.14647626
342	23.206333
343	23.25184906
344	23.28364795
345	23.32978752
346	23.39151478
347	23.43516032
348	23.46758272
349	23.52868648
350	23.57046149
351	23.60911897
352	23.62533017
353	23.67583429
354	23.70139811
355	23.74005559
356	23.76998396
357	23.78619516
358	23.82921719
359	23.87722728
360	23.90528513
361	23.93708402
362	23.98821165
363	24.03809227
364	24.08859639
365	24.15032365
366	24.22576808
367	24.26941362
368	24.31555319
369	24.36356329
370	24.41406741
371	24.42092599
372	24.45771295
373	24.47143012
374	24.48514729
375	24.50821707
376	24.53814544
377	24.56308575
378	24.60236673
379	24.62543652
380	24.63665966
381	24.69152833
382	24.69402237
383	24.71522163
384	24.76510224
385	24.76323172
